"Sensor","Date_Time","Date","Time","Count"
"QVM-Franklin St (North)",2020-07-01 01:00:00,2020-07-01,1,5
"Elizabeth St-Lonsdale St (South)",2020-07-01 01:00:00,2020-07-01,1,13
"Lincoln-Swanston (W)",2020-07-01 01:00:00,2020-07-01,1,NA
"Elizabeth St-La Trobe St (East)",2020-07-01 01:00:00,2020-07-01,1,NA
"Lonsdale St - Elizabeth St (North)",2020-07-01 01:00:00,2020-07-01,1,17
"Bourke St Bridge",2020-07-01 01:00:00,2020-07-01,1,2
"Bourke St - Spencer St (North)",2020-07-01 01:00:00,2020-07-01,1,3
"RMIT Bld 80 - 445 Swanston Street",2020-07-01 01:00:00,2020-07-01,1,NA
"Flinders La-Swanston St (West) Temporary",2020-07-01 01:00:00,2020-07-01,1,NA
"RMIT Building 14",2020-07-01 01:00:00,2020-07-01,1,27
"380 Elizabeth St",2020-07-01 01:00:00,2020-07-01,1,80
"La Trobe St (North)",2020-07-01 01:00:00,2020-07-01,1,26
"231 Bourke St",2020-07-01 01:00:00,2020-07-01,1,23
"Royal Pde - Grattan St",2020-07-01 01:00:00,2020-07-01,1,2
"Bourke Street Mall (North)",2020-07-01 02:00:00,2020-07-01,2,12
"Bourke Street Mall (South)",2020-07-01 02:00:00,2020-07-01,2,7
"Melbourne Central",2020-07-01 02:00:00,2020-07-01,2,26
"Town Hall (West)",2020-07-01 02:00:00,2020-07-01,2,20
"Princes Bridge",2020-07-01 02:00:00,2020-07-01,2,20
"Flinders Street Station Underpass",2020-07-01 02:00:00,2020-07-01,2,8
"Birrarung Marr",2020-07-01 02:00:00,2020-07-01,2,3
"Webb Bridge",2020-07-01 02:00:00,2020-07-01,2,3
"Southern Cross Station",2020-07-01 02:00:00,2020-07-01,2,1
"Victoria Point",2020-07-01 02:00:00,2020-07-01,2,1
"Waterfront City",2020-07-01 02:00:00,2020-07-01,2,3
"New Quay",2020-07-01 02:00:00,2020-07-01,2,5
"Flagstaff Station",2020-07-01 02:00:00,2020-07-01,2,NA
"Sandridge Bridge",2020-07-01 02:00:00,2020-07-01,2,6
"State Library",2020-07-01 02:00:00,2020-07-01,2,NA
"Collins St (North)",2020-07-01 02:00:00,2020-07-01,2,20
